
#separator:tab
#html:false
#deck:A2 Daily Life
life-aufstehen	Ich stehe um 7 Uhr auf.	I get up at 7 o'clock.	Daily routine	a2 daily
life-fruehstuecken	Ich frühstücke immer.	I always have breakfast.	Daily routine	a2 daily
life-zaehne-putzen	Ich putze mir die Zähne.	I brush my teeth.	Daily routine	a2 daily
life-duschen	Ich dusche jeden Morgen.	I shower every morning.	Daily routine	a2 daily
life-anziehen	Ich ziehe mich an.	I get dressed.	Daily routine	a2 daily
life-arbeiten	Ich arbeite von 9 bis 17 Uhr.	I work from 9 to 5.	Daily routine	a2 daily
life-mittagessen	Ich esse zu Mittag.	I have lunch.	Daily routine	a2 daily
life-kaffee-trinken	Ich trinke jeden Morgen Kaffee.	I drink coffee every morning.	Daily routine	a2 daily
life-nach-hause	Ich gehe nach Hause.	I go home.	Daily routine	a2 daily
life-abendessen	Wir essen Abendessen um 7 Uhr.	We have dinner at 7 o'clock.	Daily routine	a2 daily
life-fernsehen	Ich sehe fern.	I watch TV.	Daily routine	a2 daily
life-ins-bett	Ich gehe um 22 Uhr ins Bett.	I go to bed at 10 pm.	Daily routine	a2 daily
life-einkaufen	Ich gehe einkaufen.	I go shopping.	Daily routine	a2 daily
life-kochen	Ich koche gern.	I like to cook.	Daily routine	a2 daily
life-schlafen	Ich schlafe 8 Stunden.	I sleep 8 hours.	Daily routine	a2 daily
life-wecker	Der Wecker läutet um 7 Uhr.	The alarm rings at 7 o'clock.	Daily routine	a2 daily
life-bett	Ich mache das Bett.	I make the bed.	Daily routine	a2 daily
life-waschen	Ich wasche mich.	I wash myself.	Daily routine	a2 daily
life-buero	Ich bin im Büro.	I am in the office.	Daily routine	a2 daily
life-pause	Ich mache eine Pause.	I take a break.	Daily routine	a2 daily
life-ueberstunden	Ich mache Überstunden.	I work overtime.	Daily routine	a2 daily
life-freizeit	In meiner Freizeit lese ich.	In my free time I read.	Daily routine	a2 daily
life-hobby	Mein Hobby ist Sport.	My hobby is sports.	Daily routine	a2 daily
life-wochenende	Am Wochenende gehe ich aus.	On the weekend I go out.	Daily routine	a2 daily
life-samstag	Am Samstag gehe ich ins Kino.	On Saturday I go to the cinema.	Daily routine	a2 daily
life-sonntag	Am Sonntag bleibe ich zu Hause.	On Sunday I stay at home.	Daily routine	a2 daily
life-planen	Ich plane meinen Tag.	I plan my day.	Daily routine	a2 daily
life-organisieren	Ich organisiere alles.	I organize everything.	Daily routine	a2 daily
life-vorbereiten	Ich bereite alles vor.	I prepare everything.	Daily routine	a2 daily
life-erledigen	Ich erledige meine Aufgaben.	I complete my tasks.	Daily routine	a2 daily
life-abschalten	Ich schalte ab.	I relax.	Daily routine	a2 daily
life-entspannen	Ich entspanne mich.	I relax.	Daily routine	a2 daily
life-meditieren	Ich meditiere.	I meditate.	Daily routine	a2 daily
life-sport	Ich treibe Sport.	I do sports.	Daily routine	a2 daily
life-joggen	Ich gehe joggen.	I go jogging.	Daily routine	a2 daily
life-wandern	Ich gehe wandern.	I go hiking.	Daily routine	a2 daily
life-radfahren	Ich fahre Rad.	I ride a bicycle.	Daily routine	a2 daily
life-schwimmen	Ich gehe schwimmen.	I go swimming.	Daily routine	a2 daily
life-tanzen	Ich gehe tanzen.	I go dancing.	Daily routine	a2 daily
life-musik	Ich höre Musik.	I listen to music.	Daily routine	a2 daily
life-buch	Ich lese ein Buch.	I read a book.	Daily routine	a2 daily
life-zeitung	Ich lese die Zeitung.	I read the newspaper.	Daily routine	a2 daily
life-telefonieren	Ich telefoniere mit Freunden.	I talk on the phone with friends.	Daily routine	a2 daily
life-treffen	Ich treffe mich mit Freunden.	I meet friends.	Daily routine	a2 daily
life-besuch	Ich besuche meine Familie.	I visit my family.	Daily routine	a2 daily
life-feiern	Wir feiern zusammen.	We celebrate together.	Daily routine	a2 daily
life-geschenke	Ich kaufe Geschenke.	I buy gifts.	Daily routine	a2 daily
life-post	Ich schreibe eine E-Mail.	I write an email.	Daily routine	a2 daily
life-internet	Ich surfe im Internet.	I surf the internet.	Daily routine	a2 daily
life-smartphone	Ich benutze mein Smartphone.	I use my smartphone.	Daily routine	a2 daily
life-apps	Ich lade Apps herunter.	I download apps.	Daily routine	a2 daily
life-sozial	Ich bin in sozialen Medien.	I am on social media.	Daily routine	a2 daily
