#deck:Politics & History
pol-1	die Verfassung	constitution	The fundamental principles or established precedents according to which a state is governed.	c2 politics noun
pol-2	der Bundeskanzler	Chancellor	The head of government in Germany.	c2 politics noun
pol-3	der Bundestag	Federal Diet	The federal parliament of Germany.	c2 politics noun
pol-4	die Gesetzgebung	legislation	The process of making or enacting laws.	c2 politics noun
pol-5	die Opposition	opposition	The political parties not in power.	c2 politics noun
pol-6	die Koalition	coalition	An alliance for combined action, especially of political parties forming a government.	c2 politics noun
pol-7	der Wahlkampf	election campaign	The period before an election during which politicians try to persuade people to vote for them.	c2 politics noun
pol-8	die Demokratie	democracy	A system of government by the whole population or all the eligible members of a state.	c2 politics noun
pol-9	die Diktatur	dictatorship	A form of government in which one person or a small group possesses absolute power.	c2 politics noun
pol-10	der Abgeordnete	Member of Parliament (MP)	A person who has been elected to a parliament.	c2 politics noun
pol-11	die Gewaltenteilung	separation of powers	The division of state and government into branches, each with separate and independent powers.	c2 politics noun
pol-12	die Bundesregierung	federal government	The national government of Germany.	c2 politics noun
pol-13	das Grundgesetz	Basic Law	The constitution of the Federal Republic of Germany.	c2 politics noun
pol-14	der Föderalismus	federalism	The federal principle or system of government.	c2 politics noun
pol-15	die Wiedervereinigung	reunification	The process of Germany becoming one country again in 1990.	c2 history noun
pol-16	der Kalte Krieg	Cold War	A state of political hostility between countries characterized by threats, propaganda, and other measures short of open warfare.	c2 history noun
pol-17	der Erste Weltkrieg	First World War	A global war originating in Europe that lasted from 28 July 1914 to 11 November 1918.	c2 history noun
pol-18	der Zweite Weltkrieg	Second World War	A global war that lasted from 1939 to 1945.	c2 history noun
pol-19	die Weimarer Republik	Weimar Republic	The German state from 1918 to 1933.	c2 history noun
pol-20	das Heilige Römische Reich	Holy Roman Empire	A multi-ethnic complex of territories in Central Europe that developed during the Early Middle Ages.	c2 history noun
pol-21	die Revolution	revolution	A forcible overthrow of a government or social order, in favor of a new system.	c2 history noun
pol-22	die Aufklärung	Enlightenment	An intellectual and philosophical movement that dominated the world of ideas in Europe during the 18th century.	c2 history noun
pol-23	die Industrialisierung	industrialization	The development of industries in a country or region on a wide scale.	c2 history noun
pol-24	der Nationalsozialismus	National Socialism (Nazism)	The ideology and practices associated with the Nazi Party.	c2 history noun
pol-25	der Eiserne Vorhang	Iron Curtain	The political, military, and ideological barrier erected by the Soviet Union after World War II.	c2 history noun
pol-26	die Berliner Mauer	Berlin Wall	A guarded concrete barrier that physically and ideologically divided Berlin from 1961 to 1989.	c2 history noun
pol-27	der Imperialismus	imperialism	A policy of extending a country's power and influence through diplomacy or military force.	c2 history noun
pol-28	der Kolonialismus	colonialism	The policy or practice of acquiring full or partial political control over another country.	c2 history noun
pol-29	die Außenpolitik	foreign policy	A government's strategy in dealing with other nations.	c2 politics noun
pol-30	der Vertrag	treaty/contract	A formally concluded and ratified agreement between countries.	c2 politics noun
