#deck:Science & Technology
sci-1	der Computer	computer		tech noun
sci-2	das Internet	internet		tech noun
sci-3	die Webseite	website		tech noun
sci-4	die Datei	file		tech noun
sci-5	speichern	to save		tech verb
sci-6	löschen	to delete		tech verb
sci-7	herunterladen	to download		tech verb
sci-8	hochladen	to upload		tech verb
sci-9	das Passwort	passwort		tech noun
sci-10	der Benutzername	username		tech noun
sci-11	die Künstliche Intelligenz	artificial intelligence (AI)		tech noun ai
sci-12	der Algorithmus	algorithm		tech noun
sci-13	programmieren	to program		tech verb
sci-14	die Software	software		tech noun
sci-15	die Hardware	hardware		tech noun
sci-16	die Wissenschaft	science		science noun
sci-17	die Forschung	research		science noun
sci-18	das Experiment	experiment		science noun
sci-19	das Labor	laboratory		science noun
sci-20	die Hypothese	hypothesis		science noun
sci-21	die Theorie	theory		science noun
sci-22	der Beweis	proof/evidence		science noun
sci-23	die Entdeckung	discovery		science noun
sci-24	die Erfindung	invention		science noun
sci-25	die Chemie	chemistry		science noun
sci-26	die Physik	physics		science noun
sci-27	die Biologie	biology		science noun
sci-28	die Astronomie	astronomy		science noun
sci-29	die Mathematik	mathematics		science noun
sci-30	der Weltraum	outer space		space noun
sci-31	der Planet	planet		space noun
sci-32	der Stern	star		space noun
sci-33	die Galaxie	galaxy		space noun
sci-34	die Rakete	rocket		space noun
sci-35	der Astronaut	astronaut		space noun
sci-36	das Universum	universum		space noun
sci-37	die Schwerkraft	gravity		space noun
