#separator:tab
#html:false
#deck:B1 German False Friends
front	back	extra	tags	notetype
aktuell	current (in use)	nicht "actual"	false-friend b1	B1 False Friends	Basic
das Alphabet	alphabet	nicht "alphabet" (in German means order)	false-friend b1	B1 False Friends	Reverse
der Chef	chief/boss	nicht "chef" (cook in German = Koch)	false-friend b1	B1 False Friends	Basic
das Content	content (content)	nicht "context"	false-friend b1	B1 False Friends	Reverse
eventually	eventually (finally)	nicht "eventuell" (possible)	false-friend b1	B1 False Friends	Basic
das Event	event	nicht "event" (means occasion in German)	false-friend b1	B1 False Friends	Reverse
fashion	fashion	nicht "Form" (shape)	false-fister b1	B1 False Friends	Basic
das Festival	festival	nicht "Festival" (means celebration in German)	false-friend b1	B1 False Friends	Reverse
das Handy	mobile phone	nicht "handy" (useful) - German for "handy" = praktisch	false-friend b1	B1 False Friends	Reverse
das Interview	interview	nicht "Interview" (means questioning)	false-friend b1	B1 False Friends	Basic
das Journal	journal (diary)	nicht "Journal" (magazine/newspaper)	false-friend b1	B1 False Friends	Reverse
der Kaugummi	chewing gum	nicht "Gummi" (rubber)	false-friend b1	B1 False Friends	Basic
konkret	concrete/specific	nicht "concrete" (material)	false-friend b1	B1 False Friends	Reverse
der Manager	manager	nicht "Manager" (means one who manages)	false-friend b1	B1 False Friends	Basic
das Marketing	marketing	nicht "Marketing" (means advertising)	false-friend b1	B1 False Friends	Reverse
die Million	million	nicht "Million" (plural in German stays Millionen)	false-friend b1	B1 False Friends	Reverse
das Okay	okay	nicht "Okay" (means acceptable)	false-friend b1	B1 False Friends	Reverse
die Party	party	nicht "Party" (means celebration in German)	false-friend b1	B1 False Friends	Basic
das Pasta	pasta	nicht "Pasta" (means sauce in German)	false-friend b1	B1 False Friends	Reverse
das Podcast	podcast	nicht "Podcast" (means audio program)	false-friend b1	B1 False Friends	Reverse
das Produkt	product	nicht "Product" (means result in German)	false-friend b1	B1 False Friends	Basic
das Proposal	proposal	nicht "Proposal" (means suggestion)	false-friend b1	B1 False Friends	Reverse
die Provision	commission	nicht "Provision" (means provision/arrangement)	false-friend b1	B1 False Friends	Basic
das Recycling	recycling	nicht "Recycling" (means to reprocess)	false-friend b1	B1 False Friends	Reverse
der Roman	novel	nicht "Roman" (means Roman person)	false-friend b1	B1 False Friends	Basic
der Service	service	nicht "Service" (means help/assistance)	false-friend b1	B1 False Friends	Reverse
sexy	sexy	nicht "sexy" (means attractive in German)	false-friend b1	B1 False Friends	Reverse
der Slogan	slogan	nicht "Slogan" (means catchphrase)	false-friend b1	B1 False Friends	Basic
das Smartphone	smartphone	nicht "Smartphone" (means cell phone)	false-friend b1	B1 False Friends	Reverse
das Smoking	tuxedo	nicht "Smoking" (means smoking)	false-fister b1	B1 False Friends	Reverse
der Springer	person who jumps	nicht "Springer" (means leaper - brand name for coffee)	false-friend b1	B1 False Friends	Basic
der Status	status	nicht "Status" (means state/condition)	false-friend b1	B1 False Friends	Reverse
der Strip	strip (tear)	nicht "Strip" (means to tear off)	false-friend b1	B1 False Friends	Basic
das Studio	studio	nicht "Studio" (means workshop)	false-friend b1	B1 False Friends	Reverse
das Team	team	nicht "Team" (means group)	false-friend b1	B1 False Friends	Reverse
der Text	text	nicht "Text" (means written content)	false-friend b1	B1 False Friends	Reverse
die USA	the USA	nicht "USA" (abbreviation stays same)	false-friend b1	B1 False Friends	Basic
das Video	video	nicht "Video" (means film/clip)	false-friend b1	B1 False Friends	Reverse
das Webcam	webcam	nicht "Webcam" (means camera)	false-friend b1	B1 False Friends	Basic
aktuell aktuell	currently/presently	Does NOT mean "actually" in English	false-friend b1	B1 False Friends MCQ:actually,currently,really,truly
eventuell	eventually / possibly	Does NOT mean "eventually" - means "possibly" in English	false-friend b1	B1 False Friends MCQ:eventually,possibly,probably,surely
Firma	company/firm	Does NOT mean "firm" (solid) in English	false-friend b1	B1 False Friends MCQ:company,firm,factory,office
flach	flat (shallow)	Does NOT mean "flach" (not curved) in English	false-friend b1	B1 False Friends MCQ:shallow,flat,plain,bland
Gymnasium	German high school	Does NOT mean "gymnasium" in English (sports facility)	false-friend b1	B1 False Friends MCQ:high school,university,gym,sports center
Karriere	career (professional path)	Does NOT mean "career" as in "profession" only	false-friend b1	B1 False Friends MCQ:career,job,work,livelihood
konservativ	traditional/conservative	Does NOT mean "conservative" (preservative) in English	false-friend b1	B1 False Friends MCQ:traditional,conservative,old-fashioned,preservative
Konto	bank account	Does NOT mean "account" in general (means bank account)	false-friend b1	B1 False Friends MCQ:bank account,account,record,report
Liberal	open-minded/freethinking	Does NOT mean "liberal" (political left) in German	false-friend b1	B1 False Friends MCQ:open-minded,liberal,tolerant,progressive
Matratze	mattress	Does NOT mean "mattress" (bedding) - German: mattress = Unterlage	false-friend b1	B1 False Friends MCQ:mattress,pad,cushion,material
meist	mostly/usually	Does NOT mean "most" (superlative) - means "usually"	false-friend b1	B1 False Friends MCQ:mostly,usually,often,generally
mild	gentle/mild (weather/food)	Does NOT mean "mild" (not spicy) only - also means gentle	false-friend b1	B1 False Friends MCQ:gentle,mild,lenient,calm
nett	nice/pleasant	Does NOT mean "nett" (net) or "nett" (clean)	false-friend b1	B1 False Friends MCQ:nice,pleasant,friendly,kind
peinlich	embarrassing/awkward	Does NOT mean "painful" - means "embarrassing"	false-friend b1	B1 False Friends MCQ:embarrassing,awkward,uncomfortable,painful
Rotwein	red wine	Does NOT mean "rot" (red) + "wein" (wine) - but actually works	false-friend b1	B1 False Friends MCQ:red wine,red,dark wine,burgundy
falsch	wrong/incorrect	Does NOT mean "falsch" (false) as in "fake" - means incorrect	false-friend b1	B1 False Friends MCQ:wrong,incorrect,false,wrongful
sensibel	sensitive	Does NOT mean "sensibel" (sensible) - means sensitive	false-friend b1	B1 False Friends MCQ:sensitive,sensible,delicate,emotional
spannend	exciting/thrilling	Does NOT mean "spending" - means exciting	false-friend b1	B1 False Friends MCQ:exciting,thrilling,interesting,suspenseful
toll	great/awesome	Does NOT mean "toll" (road fee) - means "great"	false-friend b1	B1 False Friends MCQ:great,awesome,amazing,terrific
treu	faithful/loyal	Does NOT mean "treu" (true) - means loyal	false-friend b1	B1 False Friends MCQ:faithful,loyal,devoted,true
wahr	true/real	Does NOT mean "war" (conflict) - means true/factual	false-friend b1	B1 False Friends MCQ:true,real,actual,genuine
wirklich	really/truly	Does NOT mean "wirklich" (effectively) - means truly	false-friend b1	B1 False Friends MCQ:really,truly,actually,indeed
zunächst	at first/to begin with	Does NOT mean "at once" - means "initially"	false-friend b1	B1 False Friends MCQ:first,initially,first of all,to begin with
brauchen	to need	Does NOT mean "to browse" - means "to need"	false-friend b1	B1 False Friends MCQ:to need,to require,to want,to use
fernsehen	to watch TV	Does NOT mean "to see far" - means "to watch television"	false-friend b1	B1 False Friends MCQ:to watch TV,to see far,to look distant,to vision far
fremd	foreign/strange	Does NOT mean "fremd" (means "from the family" in English)	false-friend b1	B1 False Friends MCQ:foreign,strange,alien,external
Gast	guest	Does NOT mean "gast" (not a word in English)	false-fird b1	B1 False Friends MCQ:guest,host,visitor,stranger
halten	to hold/to stop	Does NOT mean "to halt" (to stop completely) - more general	false-friend b1	B1 False Friends MCQ:to hold,to keep,to stop,to consider
Herz	heart	Does NOT mean "Herz" (hertz) - means organ/emotion	false-friend b1	B1 False Friends MCQ:heart,courage,center,middle
Hose	pants/trousers	Does NOT mean "hose" (garden hose) - means pants	false-friend b1	B1 False Friends MCQ:pants,trousers,breeches,jeans
Kette	chain	Does NOT mean "ket" (not a word) - means chain/fetters	false-friend b1	B1 False Friends MCQ:chain,necklace,series,rope
Kinder	children	Does NOT mean "kinder" (more kind) - means children	false-friend b1	B1 False Friends MCQ:children,kids,youth,youngsters
das Konto	account (bank)	Does NOT mean "content" in German	false-friend b1	B1 False Friends MCQ:account,balance,fund,record
