#deck:Philosophy & Literature
phil-1	das Sein	being/existence	Central concept in existential philosophy. Heidegger's 'Sein und Zeit'.	b2 c1 philosophy noun
phil-2	das Dasein	existence/being-there	Heidegger's term for human existence, literally 'being-there'.	b2 c1 philosophy noun
phil-3	die Weltanschauung	worldview	A comprehensive view of the world and human life.	b2 c1 philosophy noun
phil-4	die Erkenntnis	knowledge/insight/recognition	Key term in epistemology (Erkenntnistheorie).	b2 c1 philosophy noun
phil-5	die Wahrheit	truth	Nietzsche: 'Was ist Wahrheit?'	b2 c1 philosophy noun
phil-6	die Freiheit	freedom/liberty	Central to Kant's moral philosophy and existentialism.	b2 c1 philosophy noun
phil-7	die Gerechtigkeit	justice/fairness	Plato's 'Politeia' (The Republic) explores this concept.	b2 c1 philosophy noun
phil-8	die Moral	morality/morals	Kant's 'Kritik der praktischen Vernunft'.	b2 c1 philosophy noun
phil-9	die Ethik	ethics	Branch of philosophy dealing with right and wrong.	b2 c1 philosophy noun
phil-10	die Dialektik	dialectics	Hegel's method: thesis-antithesis-synthesis.	b2 c1 philosophy noun
phil-11	die Aufklärung	Enlightenment	Kant: 'Aufklärung ist der Ausgang des Menschen aus seiner selbstverschuldeten Unmündigkeit.'	b2 c1 philosophy noun
phil-12	der Idealismus	idealism	Philosophical tradition from Kant to Hegel.	b2 c1 philosophy noun
phil-13	der Existentialismus	existentialism	Jaspers, Heidegger, Sartre.	b2 c1 philosophy noun
phil-14	der Nihilismus	nihilism	Nietzsche: 'Gott ist tot.'	b2 c1 philosophy noun
phil-15	die Vernunft	reason	Kant's 'Kritik der reinen Vernunft'.	b2 c1 philosophy noun
phil-16	die Pflicht	duty	Kant's categorical imperative acts from duty.	b2 c1 philosophy noun
phil-17	der Übermensch	overman/superman	Nietzsche's concept in 'Also sprach Zarathustra'.	b2 c1 philosophy noun
phil-18	das Gewissen	conscience	Central to moral philosophy and ethics.	b2 c1 philosophy noun
phil-19	denken	to think		b2 c1 philosophy verb
phil-20	reflektieren	to reflect		b2 c1 philosophy verb
phil-21	hinterfragen	to question/challenge		b2 c1 philosophy verb
phil-22	begreifen	to comprehend/grasp		b2 c1 philosophy verb
phil-23	schließen	to conclude/deduce		b2 c1 philosophy verb
phil-24	ableiten	to derive/deduce		b2 c1 philosophy verb
phil-25	Immanuel Kant (1724-1804)	Critique of Pure Reason  categorical imperative	Königsberg philosopher, founder of German idealism.	b2 c1 philosophy philosopher
phil-26	Georg W.F. Hegel (1770-1831)	Phenomenology of Spirit  dialectical method	Major figure in German idealism.	b2 c1 philosophy philosopher
phil-27	Friedrich Nietzsche (1844-1900)	Thus Spoke Zarathustra  God is dead  will to power	Radical critic of morality and religion.	b2 c1 philosophy philosopher
phil-28	Martin Heidegger (1889-1976)	Being and Time  Dasein  question of Being	Most influential 20th-century German philosopher.	b2 c1 philosophy philosopher
phil-29	Arthur Schopenhauer (1788-1860)	The World as Will and Representation	Pessimistic philosophy, influenced Nietzsche and Wittgenstein.	b2 c1 philosophy philosopher
phil-30	Gottfried Wilhelm Leibniz (1646-1716)	Monadology  best of all possible worlds	Also mathematician, co-inventor of calculus.	b2 c1 philosophy philosopher
phil-31	die Dichtung	poetry/literature	General term for literary creation.	b2 c1 literature noun
phil-32	der Roman	novel	der Bildungsroman = coming-of-age novel.	b2 c1 literature noun
phil-33	die Erzählung	narrative/story	Short prose fiction, longer than a Kurzgeschichte.	b2 c1 literature noun
phil-34	die Kurzgeschichte	short story	Popular form in post-war German literature.	b2 c1 literature noun
phil-35	das Drama	drama/play	German drama tradition: Schiller, Goethe, Brecht.	b2 c1 literature noun
phil-36	das Gedicht	poem	Lyric poetry (Lyrik) is a major German literary tradition.	b2 c1 literature noun
phil-37	die Lyrik	lyric poetry	One of the three main literary genres.	b2 c1 literature noun
phil-38	die Epik	epic/narrative literature	Prose fiction genre.	b2 c1 literature noun
phil-39	die Tragödie	tragedy	Classical form adapted by Schiller and Goethe.	b2 c1 literature noun
phil-40	die Komödie	comedy	Brecht's 'Dreigroschenoper' is a famous example.	b2 c1 literature noun
phil-41	der Protagonist	protagonist	Main character in a narrative.	b2 c1 literature noun
phil-42	der Antagonist	antagonist	Opposing character to the protagonist.	b2 c1 literature noun
